Feature,CompGroup.C.,BaseGroup.B.,NumSamplesInC,NumSamplesInB,SignedFC,Tstatistic,Parameter,Pvalue,X95.Conf.Int.1,X95.Conf.Int.2,MeanC,MeanB,NullValue.DifferenceInMeans,Alternative,Method,FDR
11,214850_at|GUSBP14,Moderate,Incipient,8,7,-1.69213576111247,-4.33546346163759,11.7413252520803,0.00101884560436885,-1.14114145975655,-0.376549183100591,4.78208325,5.54092857142857,0,two.sided,Welch Two Sample t-test,0.999942533103159
12,47571_at|ZNF236,Moderate,Incipient,8,7,1.47631506352073,4.14026486890268,12.7160273336238,0.0012158680942851,0.268084534600137,0.855916751114149,8.9312025,8.36920185714286,0,two.sided,Welch Two Sample t-test,0.999942533103159
13,207939_x_at|RNPS1,Moderate,Incipient,8,7,-1.28846116448294,-4.17454284766281,12.1924448809818,0.0012464885998485,-0.556158158925735,-0.175139948217124,4.943368375,5.30901742857143,0,two.sided,Welch Two Sample t-test,0.999942533103159
14,216896_at|COL4A3,Moderate,Incipient,8,7,1.13748083032428,4.19779856843836,11.8521483710309,0.00126992703684628,0.0892496095093955,0.282434854776319,1.781551375,1.59570914285714,0,two.sided,Welch Two Sample t-test,0.999942533103159
15,1558595_at|KANSL1L-AS1,Moderate,Incipient,8,7,1.33153003200854,4.14863626054868,12.3473436660092,0.00127221083995844,0.196812759186056,0.629357177206801,2.216121131625,1.80303616342857,0,two.sided,Welch Two Sample t-test,0.999942533103159
16,232900_at|HERC2P7,Moderate,Incipient,8,7,-1.21256105583891,-4.04729488588382,12.6648059405298,0.00145555859439562,-0.42687942037155,-0.129235365342736,3.19301275,3.47107014285714,0,two.sided,Welch Two Sample t-test,0.999942533103159
17,222693_at|FNDC3B,Moderate,Incipient,8,7,1.36924258862133,3.97897660232459,12.9955577232134,0.00157417379383658,0.207209795379619,0.699546347477524,2.4776155,2.02423742857143,0,two.sided,Welch Two Sample t-test,0.999942533103159
18,233915_at|KIAA0825,Moderate,Incipient,8,7,1.22114897545924,3.97831735028671,12.9268942140918,0.00159182085419054,0.131624977966849,0.444853450604579,3.3135955,3.02535628571429,0,two.sided,Welch Two Sample t-test,0.999942533103159
19,1559079_at|LINC00567,Moderate,Incipient,8,7,1.24119591660152,3.90931359383936,12.5419777381143,0.00191429660460013,0.138820147339611,0.484641564017531,2.33786528025,2.02613442457143,0,two.sided,Welch Two Sample t-test,0.999942533103159
20,232635_at|CEP128,Moderate,Incipient,8,7,1.25979416631556,3.84025144572058,12.7549300347596,0.00211344849763254,0.145383300969584,0.520992770458988,2.34406775,2.01087971428571,0,two.sided,Welch Two Sample t-test,0.999942533103159
21,59631_at|TXNRD3,Moderate,Incipient,8,7,1.20660695519712,3.99252959178737,10.9088313614382,0.00214764287456981,0.121431964467805,0.420479642675053,2.593605375,2.32264957142857,0,two.sided,Welch Two Sample t-test,0.999942533103159
22,209917_s_at|TP53TG1,Moderate,Incipient,8,7,1.20257503212982,3.83800558830834,12.3680655513417,0.00223919570153844,0.115545399493486,0.416708421935085,2.138224625,1.87209771428571,0,two.sided,Welch Two Sample t-test,0.999942533103159
23,212660_at|JADE2,Moderate,Incipient,8,7,1.41927518191202,3.78931991909737,12.99614094201,0.00225370179544875,0.217146842777719,0.79316183579371,4.317682625,3.81252828571429,0,two.sided,Welch Two Sample t-test,0.999942533103159
24,226995_at|LINC00205,Moderate,Incipient,8,7,-1.45362702113526,-3.75273012816034,12.8717476304909,0.00245448332016889,-0.850641489305519,-0.228672796408767,4.474587,5.01424414285714,0,two.sided,Welch Two Sample t-test,0.999942533103159
25,221446_at|ADAM30,Moderate,Incipient,8,7,1.24555891941667,3.72771115929736,12.9131984357644,0.00256024460444376,0.133072438065876,0.500514097648409,3.008057125,2.69126385714286,0,two.sided,Welch Two Sample t-test,0.999942533103159
26,229480_at|MAGI2-AS3,Moderate,Incipient,8,7,1.45985096118369,3.96081722970125,10.0481942881552,0.00265785808495114,0.238971543053788,0.852670635517641,2.611559375,2.06573828571429,0,two.sided,Welch Two Sample t-test,0.999942533103159
27,1561254_at|LINC02577,Moderate,Incipient,8,7,1.14710777849143,3.69313381913961,12.9151349528066,0.00273336766819802,0.0820991256248866,0.313902771625113,1.626206093625,1.428205145,0,two.sided,Welch Two Sample t-test,0.999942533103159
28,1563035_x_at|GPD1,Moderate,Incipient,8,7,1.32578137884011,3.67778472083104,12.8562422632307,0.00283453105743899,0.167587252606006,0.646098537108279,4.990511721,4.58366882614286,0,two.sided,Welch Two Sample t-test,0.999942533103159
29,205603_s_at|DIAPH2,Moderate,Incipient,8,7,-1.81312183871316,-3.64511120339157,12.9929772159984,0.00296733722041762,-1.36730158016741,-0.349650169832585,3.677152125,4.535628,0,two.sided,Welch Two Sample t-test,0.999942533103159
30,219916_s_at|RNF39,Moderate,Incipient,8,7,-1.33014754676785,-3.69711528172674,12.0401500006734,0.00303536454254658,-0.654055848275722,-0.16911672315285,1.805009,2.21659528571429,0,two.sided,Welch Two Sample t-test,0.999942533103159
31,227532_at|LRRC39,Moderate,Incipient,8,7,1.30983428888179,3.65809136330711,12.5085526004903,0.00307067135513016,0.158502782539176,0.62026582460368,4.416772875,4.02738857142857,0,two.sided,Welch Two Sample t-test,0.999942533103159
32,229975_at|BMPR1B,Moderate,Incipient,8,7,1.30443296302829,3.66857255900208,12.3360647505975,0.00307763530332732,0.156389169861495,0.610456437281362,3.584798375,3.20137557142857,0,two.sided,Welch Two Sample t-test,0.999942533103159
33,222599_s_at|NAV2,Moderate,Incipient,8,7,1.33592118207792,4.08219759838104,8.48086103303833,0.00311478097804715,0.184112269406101,0.651557516308185,5.50603375,5.08819885714286,0,two.sided,Welch Two Sample t-test,0.999942533103159
34,228857_at|GNL1,Moderate,Incipient,8,7,-1.28193058410034,-3.64596519245506,12.5059849125128,0.00314216693297588,-0.571490562416379,-0.145145723297906,4.513382,4.87170014285714,0,two.sided,Welch Two Sample t-test,0.999942533103159
35,233226_at|PTPN9,Moderate,Incipient,8,7,1.20313970906832,3.62904602765173,12.7537780695874,0.00314745410119748,0.10766356737861,0.425944789764247,1.64598775,1.37918357142857,0,two.sided,Welch Two Sample t-test,0.999942533103159
36,225896_at|MPRIP,Moderate,Incipient,8,7,-1.24944547666065,-3.88844089021002,9.51378173410639,0.0033146682731587,-0.506674450222552,-0.135901442634591,4.479346625,4.80063457142857,0,two.sided,Welch Two Sample t-test,0.999942533103159
37,216226_at|TAF4B,Moderate,Incipient,8,7,-1.2636766219504,-3.58693783495838,12.4032357630006,0.00355325387625228,-0.541975164385401,-0.133279478471741,2.62655725,2.96418457142857,0,two.sided,Welch Two Sample t-test,0.999942533103159
