Feature,CompGroup.C.,BaseGroup.B.,NumSamplesInC,NumSamplesInB,SignedFC,Tstatistic,Parameter,Pvalue,X95.Conf.Int.1,X95.Conf.Int.2,MeanC,MeanB,NullValue.DifferenceInMeans,Alternative,Method,FDR
68,212890_at|SLC38A10,Severe,Moderate,7,8,1.30450407100905,3.4894656367026,12.2949678664008,0.00431698731683403,0.144679791955349,0.622323100901794,3.16994957142857,2.786448125,0,two.sided,Welch Two Sample t-test,0.993989432083415
69,209789_at|CORO2B,Severe,Moderate,7,8,-1.31336463906411,-3.45437650349786,12.6533038234475,0.00443149994717089,-0.639903997467516,-0.146631038246769,6.94230685714286,7.335574375,0,two.sided,Welch Two Sample t-test,0.993989432083415
70,219175_s_at|SLC41A3,Severe,Moderate,7,8,-1.24553721237797,-3.43785412097584,12.9499996371523,0.00443249323215126,-0.515905317441859,-0.11763093255814,3.819729,4.136497125,0,two.sided,Welch Two Sample t-test,0.993989432083415
71,1569129_s_at|C3orf38,Severe,Moderate,7,8,-1.66925144817717,-3.52774490446525,11.4865978707364,0.00443909394528523,-1.19802174953643,-0.280380834177854,5.17832677114286,5.917528063,0,two.sided,Welch Two Sample t-test,0.993989432083415
72,205645_at|REPS2,Severe,Moderate,7,8,-1.19165963822776,-3.42732026521306,12.9915010310136,0.00450376193321331,-0.412440733715793,-0.093503730569922,4.47240114285714,4.725373375,0,two.sided,Welch Two Sample t-test,0.993989432083415
73,1567457_at|RAC1,Severe,Moderate,7,8,-1.32746566593087,-3.4530175929669,12.5015783204664,0.00451659624818563,-0.665400493770144,-0.151948600444142,7.33245598214286,7.74113052925,0,two.sided,Welch Two Sample t-test,0.993989432083415
74,1555608_at|CAPRIN2,Severe,Moderate,7,8,-1.31300869149021,-3.43418387227602,12.8168656697365,0.00452576639028719,-0.640385767824097,-0.145367164604476,3.19861588328571,3.5914923495,0,two.sided,Welch Two Sample t-test,0.993989432083415
75,217564_s_at|CPS1,Severe,Moderate,7,8,-1.69403422002299,-3.80160647564692,8.53139075361222,0.00463993801155865,-1.21679615766591,-0.304129878048375,2.61509285714286,3.375555875,0,two.sided,Welch Two Sample t-test,0.993989432083415
76,1559925_s_at|SLC38A2-AS1,Severe,Moderate,7,8,1.22483844537335,3.48527769128893,11.6025600012096,0.00472334407170588,0.108981294156994,0.476201650128721,2.16645209614286,1.873860624,0,two.sided,Welch Two Sample t-test,0.993989432083415
77,228227_at|ITGB1BP1,Severe,Moderate,7,8,1.39988412234419,3.6797061200984,9.38870751417767,0.00472506489277292,0.188829392002409,0.781785429426162,3.98050228571429,3.495194875,0,two.sided,Welch Two Sample t-test,0.993989432083415
